lr-AdamW,step,train_loss,epoch,val_loss,val_acc,val_f1
0.0001,49,,,,,
,49,0.4477333724498749,0,,,
0.0001,99,,,,,
,99,0.3333412706851959,0,,,
0.0001,149,,,,,
,149,0.049220699816942215,0,,,
0.0001,199,,,,,
,199,0.09978484362363815,0,,,
0.0001,249,,,,,
,249,0.015848705545067787,0,,,
,262,,0,0.04220767319202423,0.9878701567649841,0.9868685603141785
9.8e-05,299,,,,,
,299,0.024923566728830338,1,,,
9.8e-05,349,,,,,
,349,0.020064352080225945,1,,,
9.8e-05,399,,,,,
,399,0.016833309084177017,1,,,
9.8e-05,449,,,,,
,449,0.017235122621059418,1,,,
9.8e-05,499,,,,,
,499,0.02682661823928356,1,,,
,525,,1,0.020106326788663864,0.9955404996871948,0.9949223399162292
9.604e-05,549,,,,,
,549,0.005918887909501791,2,,,
9.604e-05,599,,,,,
,599,0.0480814054608345,2,,,
9.604e-05,649,,,,,
,649,0.003644252195954323,2,,,
9.604e-05,699,,,,,
,699,0.009623483754694462,2,,,
9.604e-05,749,,,,,
,749,0.007495519705116749,2,,,
,788,,2,0.012686234898865223,0.9971458911895752,0.9967532753944397
9.41192e-05,799,,,,,
,799,0.005597024690359831,3,,,
9.41192e-05,849,,,,,
,849,0.0014725441578775644,3,,,
9.41192e-05,899,,,,,
,899,0.00239994446747005,3,,,
9.41192e-05,949,,,,,
,949,0.003636316629126668,3,,,
9.41192e-05,999,,,,,
,999,0.0034833457320928574,3,,,
9.41192e-05,1049,,,,,
,1049,0.005655777174979448,3,,,
,1051,,3,0.010609710589051247,0.9971458911895752,0.9969041347503662
9.2236816e-05,1099,,,,,
,1099,0.0020448865834623575,4,,,
9.2236816e-05,1149,,,,,
,1149,0.013420861214399338,4,,,
9.2236816e-05,1199,,,,,
,1199,0.005895720329135656,4,,,
9.2236816e-05,1249,,,,,
,1249,0.001851633656769991,4,,,
9.2236816e-05,1299,,,,,
,1299,0.0025790780782699585,4,,,
,1314,,4,0.010841215960681438,0.9973242878913879,0.9970289468765259
9.039207968e-05,1349,,,,,
,1349,0.0019532758742570877,5,,,
9.039207968e-05,1399,,,,,
,1399,0.0019362919265404344,5,,,
9.039207968e-05,1449,,,,,
,1449,0.0010071719298139215,5,,,
9.039207968e-05,1499,,,,,
,1499,0.0008622832829132676,5,,,
9.039207968e-05,1549,,,,,
,1549,0.0011693197302520275,5,,,
,1577,,5,0.013573512434959412,0.996254026889801,0.9957963228225708
8.858423808639999e-05,1599,,,,,
,1599,0.005209906492382288,6,,,
8.858423808639999e-05,1649,,,,,
,1649,0.00572328781709075,6,,,
8.858423808639999e-05,1699,,,,,
,1699,0.002929775509983301,6,,,
8.858423808639999e-05,1749,,,,,
,1749,0.0060722664929926395,6,,,
8.858423808639999e-05,1799,,,,,
,1799,0.0010958327911794186,6,,,
,1840,,6,0.010496346279978752,0.9971458911895752,0.9967275857925415
8.681255332467199e-05,1849,,,,,
,1849,0.0005200915038585663,7,,,
8.681255332467199e-05,1899,,,,,
,1899,0.000702743127476424,7,,,
8.681255332467199e-05,1949,,,,,
,1949,0.00016836993745528162,7,,,
8.681255332467199e-05,1999,,,,,
,1999,0.0006126959924586117,7,,,
8.681255332467199e-05,2049,,,,,
,2049,0.0006741404067724943,7,,,
8.681255332467199e-05,2099,,,,,
,2099,0.0007269546040333807,7,,,
,2103,,7,0.009683787822723389,0.9966107606887817,0.9960328936576843
8.507630225817855e-05,2149,,,,,
,2149,0.00121786049567163,8,,,
8.507630225817855e-05,2199,,,,,
,2199,0.00021462884615175426,8,,,
8.507630225817855e-05,2249,,,,,
,2249,0.0030834598001092672,8,,,
8.507630225817855e-05,2299,,,,,
,2299,0.008235752582550049,8,,,
8.507630225817855e-05,2349,,,,,
,2349,0.00023605517344549298,8,,,
,2366,,8,0.008653318509459496,0.9975026845932007,0.9970882534980774
8.337477621301498e-05,2399,,,,,
,2399,0.0005998286069370806,9,,,
8.337477621301498e-05,2449,,,,,
,2449,0.00015001244901213795,9,,,
8.337477621301498e-05,2499,,,,,
,2499,9.813323413254693e-05,9,,,
8.337477621301498e-05,2549,,,,,
,2549,0.00016389692609664053,9,,,
8.337477621301498e-05,2599,,,,,
,2599,0.0005511722411029041,9,,,
,2629,,9,0.014723102562129498,0.9955404996871948,0.994918942451477
8.170728068875468e-05,2649,,,,,
,2649,0.0001719456195132807,10,,,
8.170728068875468e-05,2699,,,,,
,2699,0.00014161622675601393,10,,,
8.170728068875468e-05,2749,,,,,
,2749,0.009428638964891434,10,,,
8.170728068875468e-05,2799,,,,,
,2799,0.000188638994586654,10,,,
8.170728068875468e-05,2849,,,,,
,2849,0.005628921557217836,10,,,
,2892,,10,0.009618783369660378,0.9971458911895752,0.9966158866882324
8.007313507497958e-05,2899,,,,,
,2899,0.00046684499830007553,11,,,
8.007313507497958e-05,2949,,,,,
,2949,0.00015835686645004898,11,,,
8.007313507497958e-05,2999,,,,,
,2999,0.00028482527704909444,11,,,
8.007313507497958e-05,3049,,,,,
,3049,0.0005308670806698501,11,,,
8.007313507497958e-05,3099,,,,,
,3099,0.00012211092689540237,11,,,
8.007313507497958e-05,3149,,,,,
,3149,0.0001940884831128642,11,,,
,3155,,11,0.010272767394781113,0.9971458911895752,0.9966945052146912
7.847167237347999e-05,3199,,,,,
,3199,9.98099276330322e-05,12,,,
7.847167237347999e-05,3249,,,,,
,3249,0.00020166815374977887,12,,,
7.847167237347999e-05,3299,,,,,
,3299,0.000541255809366703,12,,,
7.847167237347999e-05,3349,,,,,
,3349,0.0007656941306777298,12,,,
7.847167237347999e-05,3399,,,,,
,3399,0.03662995994091034,12,,,
,3418,,12,0.043792348355054855,0.9923296570777893,0.9919211268424988
7.690223892601038e-05,3449,,,,,
,3449,0.0012441013241186738,13,,,
7.690223892601038e-05,3499,,,,,
,3499,0.0006100691389292479,13,,,
7.690223892601038e-05,3549,,,,,
,3549,0.02486703358590603,13,,,
7.690223892601038e-05,3599,,,,,
,3599,0.0007892681751400232,13,,,
7.690223892601038e-05,3649,,,,,
,3649,0.00466851657256484,13,,,
,3681,,13,0.008076556026935577,0.9976810812950134,0.9966939687728882
7.536419414749018e-05,3699,,,,,
,3699,0.0012426360044628382,14,,,
7.536419414749018e-05,3749,,,,,
,3749,0.027322813868522644,14,,,
7.536419414749018e-05,3799,,,,,
,3799,0.0004891920834779739,14,,,
7.536419414749018e-05,3849,,,,,
,3849,0.001063863979652524,14,,,
7.536419414749018e-05,3899,,,,,
,3899,0.0019946517422795296,14,,,
,3944,,14,0.010073659010231495,0.9964324235916138,0.995151162147522
7.385691026454037e-05,3949,,,,,
,3949,0.0003103104536421597,15,,,
7.385691026454037e-05,3999,,,,,
,3999,0.0025752116926014423,15,,,
7.385691026454037e-05,4049,,,,,
,4049,0.00016609746671747416,15,,,
7.385691026454037e-05,4099,,,,,
,4099,0.00017262126493733376,15,,,
7.385691026454037e-05,4149,,,,,
,4149,1.974016231542919e-05,15,,,
7.385691026454037e-05,4199,,,,,
,4199,0.0010908781550824642,15,,,
,4207,,15,0.005377909634262323,0.9982162117958069,0.9975172281265259
7.237977205924956e-05,4249,,,,,
,4249,0.0003137117309961468,16,,,
7.237977205924956e-05,4299,,,,,
,4299,0.00010386910435045138,16,,,
7.237977205924956e-05,4349,,,,,
,4349,8.900035754777491e-05,16,,,
7.237977205924956e-05,4399,,,,,
,4399,0.0001872419088613242,16,,,
7.237977205924956e-05,4449,,,,,
,4449,0.0001246365427505225,16,,,
,4470,,16,0.006746022496372461,0.9973242878913879,0.9962649941444397
7.093217661806457e-05,4499,,,,,
,4499,0.00022475473815575242,17,,,
7.093217661806457e-05,4549,,,,,
,4549,4.9923321057576686e-05,17,,,
7.093217661806457e-05,4599,,,,,
,4599,0.002653454663231969,17,,,
7.093217661806457e-05,4649,,,,,
,4649,0.0007350555388256907,17,,,
7.093217661806457e-05,4699,,,,,
,4699,8.606968185631558e-05,17,,,
,4733,,17,0.00550858722999692,0.9980378150939941,0.9972293376922607
6.951353308570328e-05,4749,,,,,
,4749,0.0002711199631448835,18,,,
6.951353308570328e-05,4799,,,,,
,4799,2.4648008547956124e-05,18,,,
6.951353308570328e-05,4849,,,,,
,4849,0.0001688209449639544,18,,,
6.951353308570328e-05,4899,,,,,
,4899,8.214930130634457e-05,18,,,
6.951353308570328e-05,4949,,,,,
,4949,4.157035436946899e-05,18,,,
,4996,,18,0.005233572795987129,0.9983945488929749,0.9977549314498901
6.812326242398921e-05,4999,,,,,
,4999,2.0170378775219433e-05,19,,,
6.812326242398921e-05,5049,,,,,
,5049,7.587175059597939e-05,19,,,
6.812326242398921e-05,5099,,,,,
,5099,0.0002728833060245961,19,,,
6.812326242398921e-05,5149,,,,,
,5149,4.8300604248652235e-05,19,,,
6.812326242398921e-05,5199,,,,,
,5199,6.859337736386806e-05,19,,,
6.812326242398921e-05,5249,,,,,
,5249,2.6538828024058603e-05,19,,,
,5259,,19,0.004502134397625923,0.9985729455947876,0.9978892207145691
